"2018-08-21","V-83644120","ES0184837005","0194 - ABANTE ASESORES GESTION","0128 - BANKINTER S.A. ","RETORNO ABSOLUTO","ABSOLUTE_RET","No","0.01","0.001","21776370.19","462,00","-2.55","-2.15","-2.38","0.04","-1.35","-2.38"
"2018-08-22","V-95644183","ES0105243002","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA FIJA EURO","FI_MIX","No","0.01","0.0012","4566885,00","135,00","-0.88","-2.31","-0.99","9.78","-0.15","-0.39"
"2018-08-22"," ","ES0105207015","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No","0.0125","0.001","1193165.3","259,00","-0.26","-1.7","0.05","n.d.","n.d.","1.72"
"2018-08-22"," ","ES0105207023","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No","0.00825","0.001","120139818.34","35,00","0.02","-1.6","0.26","n.d.","n.d.","2.16"
"2018-08-22"," ","ES0105207007","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No","0.01125","0.001","6103688.98","29,00","-0.18","-1.67","0.12","n.d.","n.d.","1.85"
"2018-08-23","V-95644191","ES0157934003","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA VARIABLE INTERNACIONAL","EQ_EURO","No","0.0135","0.0012","17124067.41","171,00","-0.12","-5.28","0.56","43.49","13.77","3.82"
"2018-08-23","V-95644225","ES0105263000","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","RENTA VARIABLE INTERNACIONAL","EQ_OTHER","No","0.0165","0.0012","9541572.75","121,00","3.19","-1.64","3.06","78.87","25.43","8.56"
"2018-08-22"," ","ES0105244018","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","GLOBAL","EQ_GLOBAL","No","0.01375","0.001","596599.11","97,00","1.13","-1.69","1.97","n.d.","n.d.","5.07"
"2018-08-22"," ","ES0105244026","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","GLOBAL","EQ_GLOBAL","No","0.01","0.001","10025312.89","13,00","1.38","-1.6","2.16","n.d.","n.d.","5.47"
"2018-08-22"," ","ES0105244000","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","GLOBAL","EQ_GLOBAL","No","0.01225","0.001","1931555.43","11,00","1.23","-1.65","2.05","n.d.","n.d.","5.23"
"2018-08-23","V-95652905","ES0157935000","0234 - ACACIA INVERSION, SGIIC","0128 - BANKINTER S.A. ","GLOBAL","EQ_GLOBAL","No","0.006","0.0012","21226761.93","186,00","1.28","0.55","1.11","13.69","9.95","1.86"
"2018-08-22"," ","ES0164723001","0202 - ALANTRA WEALTH MANAGEMENT GESTI?N","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No"," "," ","37268004.2","200,00","-2.15","-0.95","-1.36","n.d.","n.d.","-0.93"
"2018-08-22"," ","ES0164723019","0202 - ALANTRA WEALTH MANAGEMENT GESTI?N","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No"," "," ","15475932.3","4,00","-1.91","-0.85","-1.16","n.d.","n.d.","-0.55"
"2018-08-22"," ","ES0164723027","0202 - ALANTRA WEALTH MANAGEMENT GESTI?N","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA VARIABLE MIXTA INTERNAC.","EQ_MIXINT","No"," "," ","24718868.58","44,00","-1.79","-0.81","-1.08","n.d.","n.d.","n.d."
"2018-08-22"," ","ES0175919010","0202 - ALANTRA WEALTH MANAGEMENT GESTI?N","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RETORNO ABSOLUTO","ABSOLUTE_RET","No"," "," ","26188718.78","159,00","-1.63","-0.96","-1.45","n.d.","n.d.","n.d."
"2018-08-22"," ","ES0175919002","0202 - ALANTRA WEALTH MANAGEMENT GESTI?N","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RETORNO ABSOLUTO","ABSOLUTE_RET","No"," "," ","40088158,00","107,00","-1.38","-0.86","-1.25","n.d.","n.d.","n.d."
"2018-08-23","G-80101371","ES0147167037","0182 - POPULAR GESTION PRIVADA","0094 - RBC INVESTOR SERVICES ESPA?A ","MONETARIO","MONEY","No","0.01","0.0015","4883742.82","388,00","-0.64","-0.22","-0.45","-2.83","-2.18","-0.94"
"2018-08-22","G-85448991","ES0127026005","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA CORTO PLAZO","FI_SHORTT","S","0.006"," ","77454382.15","3513,00","-0.83","-0.44","-0.72","-0.69","-1.89","-1.03"
"2018-08-22","G-81482713","ES0138986031","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA CORTO PLAZO","FI_SHORTT","No","0.01"," ","113848548.6","4988,00","-1.11","-0.73","-1.1","4.75","0.14","-0.98"
"2018-08-22","G-82140401","ES0133877037","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA VARIABLE EURO","FI_SHORTT","No","0.004"," ","288586178.15","4076,00","-0.69","-0.36","-0.62","0.28","-1.3","-0.85"
"2018-08-22","G-83348532","ES0169533033","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA CORTO PLAZO","FI_SHORTT","No","0.0225","0.002","111839332.3","744,00","-0.77","-0.44","-0.7","0.16","-1.43","-0.93"
